time;PWV APEX;PWV UCSC;Humedad;Temperatura
1690783260;0.677066772;0.50660295;6.208333333;0.791666667
1690794060;0.714386022;0.579505511;6.985;-0.393333333
1690804860;0.667826422;0.521340594;8.313888889;-2.382222222
1690815660;0.646183456;0.484182522;7.086111111;1.14
1690826460;0.798026667;0.625203394;5.056666667;5.701111111
1690837260;1.125399822;0.984533194;5.932222222;5.271666667
1690848060;1.233625517;0.985256794;9.020555556;1.754444444
1690858860;0.910977317;0.719142967;8.980555556;1.413888889
1690869660;0.470062667;0.348838156;9.139444444;0.257777778
1690880460;0.396061506;0.260922506;8.063333333;0.208888889
1690891260;0.332852644;0.210239017;4.758333333;1.765
1690902060;0.357858633;0.298459261;4.877777778;3.135
1690912860;0.456888317;0.412001356;3.07;6.398888889
1690923660;0.836414817;0.695976211;4.896111111;6.227777778
1690934460;0.973459478;0.808929472;7.341666667;2.711666667
1690945260;0.797490217;0.644912361;7.467222222;1.341111111
1690956060;0.613455544;0.503477989;6.855;0.995555556
1690966860;0.437923194;0.390434772;6.382777778;0.487222222
1690977660;0.357191567;0.291439317;5.247222222;-0.538333333
1690988460;0.383612544;0.345606911;4.031111111;2.717222222
1690999260;0.44066525;0.410537006;1.93;6.144444444
1691010060;0.671687022;0.554811767;4.274444444;5.24
1691020860;0.670086906;0.570825056;6.045;1.661666667
1691031660;0.657640189;0.551949761;4.866666667;0.474444444
1691042460;0.545401528;0.455108228;4.472777778;1.032777778
1691053260;0.345745061;0.257081039;4.815555556;-0.053333333
1691064060;0.286309039;0.149788144;5.502222222;-1.035
1691074860;0.285274683;0.172886078;6.141111111;0.86
1691085660;0.453917383;0.466492878;3.681111111;4.697222222
1691096460;0.828571078;0.710820083;5.639444444;4.038333333
1691107260;0.880641078;0.717048544;7.542777778;0.36
1691118060;0.709120228;0.542804678;8.546666667;-0.373888889
1691128860;0.707390717;0.571615272;6.078888889;-0.801111111
1691139660;0.788449144;0.662926211;5.847777778;-1.466111111
1691150460;0.973822778;0.83653085;5.791666667;-0.877222222
1691161260;1.123170161;0.982296322;5.269444444;1.525555556
1691172060;1.161482528;1.060145967;9.206111111;4.122777778
1691182860;1.17192985;1.150638906;8.319444444;3.209444444
1691193660;1.20159975;1.083892767;9.565555556;-0.008333333
1691204460;0.940144572;0.816115711;11.03944444;-0.508888889
1691215260;0.954440044;0.824515806;13.56666667;-1.751111111
1691226060;1.046502483;0.900542044;15.01388889;-2.966111111
1691236860;1.312721689;1.149313072;19.43555556;-3.354444444
1691247660;1.557990722;1.403317206;19.35722222;-1.29
1691258460;1.738585633;1.560487067;17.07666667;1.145
1691269260;1.855604361;1.679885272;18.03777778;0.923333333
1691280060;1.93164245;1.758928461;21.86611111;-2.593888889
1691290860;2.197112183;1.882378511;29.14666667;-4.57
1691301660;2.502930672;2.0427657;40.05277778;-6.630555556
1691312460;2.695107183;2.155576;39.51833333;-7.584444444
1691323260;2.188272694;1.8759725;48.23388889;-9.003333333
1691334060;1.736616144;1.577528056;29.355;-5.439444444
1691344860;1.528351878;1.412812267;23.43555556;-2.219444444
1691355660;1.343614294;1.30420075;23.15222222;-2.373888889
1691366460;1.393012094;1.293292739;25.98277778;-4.306666667
1691377260;1.31114835;1.161741467;32.12166667;-6.278333333
1691388060;1.102530878;0.918310822;37.59166667;-7.723888889
1691398860;0.752633672;0.599658094;33.34055556;-7.242222222
1691409660;0.647909572;0.517331272;24.67166667;-7.056111111
1691420460;0.657666139;0.521202522;19.05444444;-4.592222222
1691431260;0.78450245;0.653119622;15.21611111;-1.408333333
1691442060;1.154244322;1.049303061;15.55055556;-1.110555556
1691452860;1.405469428;1.370386872;21.82444444;-4.24
1691463660;1.534450717;1.356589389;29.96666667;-7.499444444
1691474460;1.466598944;1.321388961;35.16777778;-8.324444444
1691485260;1.588103017;1.493978572;39.43166667;-7.898888889
1691496060;1.715003083;1.558440667;45.19388889;-9.427777778
1691506860;1.272653567;1.104040983;31.58555556;-5.900555556
1691517660;1.218406878;1.095589561;19.23277778;-3.2
1691528460;1.442728761;1.352158494;17.66111111;-2.105555556
1691539260;1.608716117;1.521904211;23.51111111;-4.206111111
1691550060;1.632725233;1.469366617;35.18;-8.122777778
1691560860;1.438524089;1.216633156;24.12888889;-6.677777778
1691571660;1.3306905;1.158892511;6.552777778;-4.510555556
1691582460;1.145105639;0.978663411;5.446666667;-3.506666667
1691593260;1.05173785;0.934723039;6.876666667;-1.361666667
1691604060;1.145379856;1.069327778;10.20777778;0.463888889
1691614860;1.37961205;1.268061822;17.74722222;-2.234444444
1691625660;1.845160072;1.696715361;25.49722222;-5.088888889
1691636460;1.721749872;1.552430161;33.29444444;-6.656666667
1691647260;1.443182956;1.283050661;36.08777778;-8.042777778
1691658060;1.530047311;1.352377961;47.42111111;-8.537777778
1691668860;1.285257672;1.106324556;29.71777778;-8.388888889
1691679660;1.269007983;1.186283528;17.21222222;-3.688333333
1691690460;1.477192822;1.337322078;19.53666667;-1.014444444
1691701260;1.561170472;1.386332967;16.03166667;-0.812777778
1691712060;1.308139283;1.228775978;22.72222222;-3.404444444
1691722860;0.890835111;0.732415328;22.87888889;-4.132777778
1691733660;0.731104956;0.58125785;6.297777778;-3.177777778
1691744460;0.795772256;0.642015011;2.965;-2.493333333
1691755260;0.775247206;0.620822822;4.077222222;-3.593888889
1691766060;0.803784294;0.651465439;6.397777778;-0.989444444
1691776860;0.990784033;0.886800783;6.442777778;1.197222222
1691787660;1.238460972;1.204517461;8.613333333;0.657222222
1691798460;1.5138573;1.417225089;14.87222222;-2.183333333
1691809260;1.482670456;1.344309461;16.73111111;-3.383888889
1691820060;1.216211672;1.044791817;11.53833333;-3.088333333
1691830860;1.3873556;1.248002239;11.45444444;-3.098333333
1691841660;1.775864306;1.629637372;13.77388889;-3.67
1691852460;2.376584194;2.0380988;17.64888889;-0.534444444
1691863260;2.404257289;1.973540778;18.99666667;0.868888889
1691874060;2.164391472;1.835529917;17.55444444;-0.483888889
1691884860;2.206905933;1.837602694;23.28111111;-3.500555556
1691895660;2.073829339;1.772992094;25.66111111;-4.088333333
1691906460;1.910037706;1.723092156;18.95777778;-3.265
1691917260;2.284503744;1.952175722;26.38777778;-4.072777778
1691928060;2.017191906;1.753133244;30.43944444;-5.506111111
1691938860;2.121101211;1.812285878;21.58111111;-1.606666667
1691949660;2.25394915;2.051702917;17.58388889;0.270555556
1691960460;2.208084733;1.937361339;16.38888889;-0.058888889
1691971260;2.13164755;1.85564995;19.195;-2.393333333
1691982060;1.568642456;1.41043435;26.565;-5.448333333
1691992860;1.207355178;1.048863489;20.64666667;-4.386111111
1692003660;1.062515633;0.911174278;22.28777778;-4.708888889
1692014460;0.884813117;0.721694178;21.57166667;-5.141666667
1692025260;0.749918028;0.6314901;15.22444444;-1.122222222
1692036060;0.951524644;1.069522428;8.252777778;2.583888889
1692046860;1.591310606;1.450320961;13.53166667;1.966666667
1692057660;1.436814511;1.341073278;15.51111111;-1.861111111
1692068460;1.100361861;0.94919775;18.28444444;-3.981666667
1692079260;1.006425278;0.850007756;18.96777778;-4.469444444
1692090060;1.071428011;0.8984363;14.97222222;-3.422777778
1692100860;0.882250339;0.736211611;13.75055556;-3.391111111
1692111660;0.862480967;0.731916439;12.45611111;-1.040555556
1692122460;0.983623789;0.890257194;12.25833333;1.247777778
1692133260;1.054026561;0.939574028;14.925;0.794444444
1692144060;1.097061044;0.960670789;20.62444444;-2.493333333
1692154860;0.737341139;0.593314244;22.86888889;-4.409444444
1692165660;0.634314183;0.506774133;19.68888889;-3.516111111
1692176460;0.580437233;0.461961417;21.51388889;-4.621666667
1692187260;0.499136933;0.388530661;14.34722222;-4.085
1692198060;0.542773406;0.463396517;11.35444444;-1.775
1692208860;0.571268528;0.525226156;9.536666667;1.355
1692219660;0.642276256;0.601388078;12.42444444;0.350555556
1692230460;0.951310356;0.818982;22.98166667;-3.142777778
1692241260;0.661117217;0.523368189;32.03166667;-6.103333333
1692252060;0.451917139;0.351151544;19.30944444;-5.865555556
1692262860;0.464542333;0.394703017;10.57833333;-5.911666667
1692273660;0.531132839;0.452194256;9.105555556;-6.368888889
1692284460;0.595972444;0.536905428;9.717777778;-3.681666667
1692295260;0.872098294;0.811832833;14.46666667;-2.002777778
1692306060;1.234817672;1.199431311;21.47055556;-2.8
1692316860;1.574082228;1.551864283;31.18166667;-5.9
1692327660;1.268104422;1.181225033;43.46222222;-9.673333333
1692338460;1.198717994;1.060433389;51.83055556;-11.89333333
1692349260;1.26516255;1.128627344;50.50111111;-12.72611111
1692360060;1.396511483;1.301106817;41.565;-12.49833333
1692370860;1.368545444;1.289189978;36.18111111;-8.375555556
1692381660;1.336671556;1.249397839;24.15333333;-5.600555556
1692392460;1.334598061;1.254145117;21.75333333;-5.476111111
1692403260;1.212121778;1.099484717;20.79055556;-7.705555556
1692414060;1.126549072;1.014653;28.85666667;-10.42444444
1692424860;1.030708217;0.861977706;21.98833333;-10.05944444
1692435660;1.230868117;1.065721578;23.275;-9.633333333
1692446460;1.46041615;1.376347739;26.95333333;-11.61611111
1692457260;1.819109928;1.648119694;21.88611111;-6.423888889
1692468060;2.008039144;1.771626039;21.07444444;-3.397222222
1692478860;1.811174383;1.665374067;20.70888889;-2.532222222
1692489660;1.529060394;1.406157378;19.645;-2.463888889
1692500460;1.114731606;1.000822394;18.58166667;-2.395
1692511260;0.874132094;0.803159561;17.515;-2.3
1692522060;0.737303233;0.678038556;16.45166667;-2.226666667
1692532860;0.656275861;0.614847739;15.38777778;-2.158333333
1692543660;0.525782928;0.486457278;14.32166667;-2.089444444
1692554460;0.617167283;0.575690244;13.25833333;-2
1692565260;0.700320761;0.639040911;12.31444444;-1.963888889
1692576060;0.897637078;0.825826122;16.07055556;-3.899444444
1692586860;0.720541606;0.662898261;22.04388889;-6.333333333
1692597660;0.4562185;0.437442239;8.433888889;-4.412222222
1692608460;0.4341541;0.441812594;7.763888889;-4.716666667
1692619260;0.394787322;0.391690883;11.44;-4.835
1692630060;0.363032161;0.389577722;6.157222222;-1.741666667
1692640860;0.356766394;0.418909306;4.225555556;0.531666667
1692651660;0.388227511;0.477616989;5.249444444;-0.043888889
1692662460;0.576478161;0.574354567;10.86944444;-2.870555556
1692673260;0.494680461;0.40552185;14.91388889;-5.743888889
1692684060;0.319728272;0.324069978;12.26888889;-6.825
1692694860;0.279350806;0.267149439;7.574444444;-6.300555556
1692705660;0.258917433;0.230061717;4.268888889;-5.459444444
1692716460;0.264745894;0.271544194;3.197777778;-1.988333333
1692727260;0.287915422;0.297767033;2.952222222;0.377222222
1692738060;0.287430261;0.341248722;3.105;0.09
1692748860;0.3283861;0.3832435;5.247222222;-2.904444444
1692759660;0.268696444;0.25229665;7.782777778;-5.198333333
1692770460;0.257826189;0.198599961;8.392777778;-5.701666667
1692781260;0.231411306;0.162550467;7.007777778;-5.587222222
1692792060;0.215930839;0.143197861;5.013888889;-5.765
1692802860;0.232541722;0.198772828;4.599444444;-3.249444444
1692813660;0.242468878;0.251399156;2.811666667;-0.220555556
1692824460;0.266915144;0.305007539;2.902777778;-0.111111111
1692835260;0.298282061;0.321154106;4.508888889;-3.208888889
1692846060;0.291564356;0.268165633;6.486111111;-5.616666667
1692856860;0.274399328;0.2086358;7.290555556;-5.93
1692867660;0.278634811;0.213655967;7.837777778;-6.801666667
1692878460;0.260444567;0.178356344;6.302222222;-6.586666667
1692889260;0.251449872;0.204532994;5.446666667;-3.085
1692900060;0.279603167;0.272068972;4.567222222;-0.762222222
1692910860;0.313191367;0.355385289;5.192222222;-1.121666667
1692921660;0.342656183;0.376003272;6.702777778;-3.562777778
1692932460;0.331253506;0.334759544;8.933888889;-7.12
1692943260;0.324441333;0.298291011;8.318888889;-7.290555556
1692954060;0.322680083;0.287777339;8.636666667;-7.3
1692964860;0.334480483;0.30609245;9.573333333;-8.256666667
1692975660;0.354109061;0.332533478;7.433333333;-4.918333333
1692986460;0.409740006;0.381196189;4.530555556;-1.138888889
1692997260;0.496827372;0.461589278;4.671666667;-1.283333333
1693008060;0.562431189;0.516384261;6.436666667;-3.672222222
1693018860;0.503876456;0.475798789;8.883333333;-6.776666667
1693029660;0.601528361;0.561422117;10.85333333;-9.268333333
1693040460;0.613288111;1.076520244;12.61388889;-7.773333333
1693051260;0.548187028;1.267203772;12.45888889;-8.333333333
1693062060;0.657348772;1.449213272;31.15888889;-4.829444444
1693072860;1.765026594;1.554895317;30.99055556;-2.281666667
1693083660;1.643345656;1.47802335;25.39166667;-1.65
1693094460;1.430814;1.378091528;26.44722222;-3.942222222
1693105260;1.5095282;1.40253765;33.88944444;-6.582777778
1693116060;1.271328222;1.206517456;34.49111111;-7.285555556
1693126860;1.184790517;1.078977239;48.1;-9.317222222
1693137660;1.12007745;0.990233933;59.19722222;-11.59333333
1693148460;0.9945322;0.863062328;34.37;-5.852777778
